,status_id,screen_name_x,account.type,class_type
112,1192230207878336513,bot#10,bot,others
113,1203391305990193152,human#12,human,human
114,1160694131376701441,bot#2,bot,gpt2
115,1226237795460534272,human#7,human,human
116,1223455937492594688,bot#14,bot,gpt2
117,1212236851605467136,human#10,human,human
118,1165501344179834881,bot#12,bot,rnn
119,1219796531965857792,human#11,human,human
120,1199596001666846722,bot#12,bot,rnn
121,1050245444918435840,human#10,human,human
122,1010984964052082688,human#10,human,human
123,1355221766994538500,bot#1,bot,gpt3
124,1179543438355783682,human#9,human,human
125,1654861544511926273,human#5,human,human
126,1205706849107841025,human#10,human,human
127,1193229263656251394,bot#4,bot,gpt2
128,730748391962083328,human#4,human,human
129,1227641023473389568,human#7,human,human
130,1524651917128855552,human#17,human,human
131,1209790937217433600,bot#10,bot,others
132,1204880824320946176,bot#12,bot,rnn
133,1564640473297436678,bot#1,bot,gpt3
134,1159340751316066304,bot#12,bot,rnn
135,1656037104223424513,bot#23,bot,chatgpt
136,1655290960119488515,human#5,human,human
137,867070005208371201,human#4,human,human
138,1227332374272278528,bot#4,bot,gpt2
139,1203887171888746497,human#10,human,human
140,1199776603082870784,bot#11,bot,others
141,1621790297586802688,human#1,human,human
142,1077607261759913985,human#10,human,human
143,1179804468826689536,human#4,human,human
144,1220585549788000261,bot#3,bot,gpt2
145,1144090262785814528,bot#12,bot,rnn
146,1171840582374895618,bot#14,bot,gpt2
147,796136148808638464,bot#16,bot,rnn
148,1208130976188108805,human#12,human,human
149,782430477873475588,human#4,human,human
150,1045325677476507648,human#10,human,human
151,1208416871763988480,bot#10,bot,others
152,1655298485095104551,human#5,human,human
153,1219444818746589185,human#7,human,human
154,1179833527241588737,bot#10,bot,others
155,1223867651715289089,human#7,human,human
156,1189756128131010561,bot#4,bot,gpt2
157,1224361909199220739,bot#14,bot,gpt2
158,1386521444629237763,bot#24,bot,gpt3
159,1179769825972936705,bot#4,bot,gpt2
160,1226586575112413184,human#12,human,human
161,1340881625043746816,human#16,human,human
162,1184472815556321280,bot#4,bot,gpt2
163,1206725733676023808,bot#10,bot,others
164,1200877157553229824,bot#4,bot,gpt2
165,1222496705763008515,human#12,human,human
166,1097244174112325632,bot#11,bot,others
167,1222549978155028481,bot#13,bot,gpt2
168,939011808177807363,bot#11,bot,others
169,1642621251549298688,human#17,human,human
170,1218201501656477696,human#7,human,human
171,991495914530529281,human#4,human,human
172,1214974638343634944,human#7,human,human
173,1187123819212787712,bot#12,bot,rnn
174,740977802963353600,bot#16,bot,rnn
175,793609053586980864,human#4,human,human
176,1218850730959953925,bot#4,bot,gpt2
177,996102877893550080,human#4,human,human
178,1122316793580675072,bot#12,bot,rnn
179,785750244499738625,human#4,human,human
180,1085274052409737216,human#10,human,human
181,1045164352527978496,human#10,human,human
182,1147908868573282304,human#8,human,human
183,1141734742217261056,bot#12,bot,rnn
184,1112016879340511234,human#4,human,human
185,1215993645201088512,bot#4,bot,gpt2
186,1199520955753734144,human#12,human,human
187,1273420402644131849,human#9,human,human
188,1215067308848271360,bot#4,bot,gpt2
189,1280649677894037509,human#12,human,human
190,1600990064581828608,human#1,human,human
191,1061293811421274112,human#10,human,human
192,1228546082172370944,human#5,human,human
193,1042427331413827584,human#10,human,human
194,1207849349020913664,bot#4,bot,gpt2
195,1151730606927073280,bot#12,bot,rnn
196,1218563699973263361,bot#14,bot,gpt2
197,1512653752141955077,human#16,human,human
198,1228403418256904193,human#7,human,human
199,1197941965775618051,human#9,human,human
200,1251293037151629314,human#9,human,human
201,1226240599512297474,bot#19,bot,others
202,1226314543334350848,human#12,human,human
203,1279879585627279365,human#12,human,human
204,1631891406448111616,bot#23,bot,chatgpt
205,941608910749777920,bot#11,bot,others
206,980176380460756992,human#4,human,human
207,1200606844642705408,bot#17,bot,gpt2
208,1143011854383321089,bot#22,bot,gpt2
209,1220526632802209795,bot#2,bot,gpt2
210,1223829360563507205,human#7,human,human
211,1221070106043744256,human#12,human,human
212,1043029274171650053,human#4,human,human
213,1604687264755376128,human#1,human,human
214,1308469452950900739,bot#1,bot,gpt3
215,1016181303022981120,human#10,human,human
216,1175409369917190144,bot#10,bot,others
217,1127800762782834688,human#4,human,human
218,1205589267113754624,bot#17,bot,gpt2
219,1248388335690604550,bot#1,bot,gpt3
220,1168219252559470593,bot#12,bot,rnn
221,1307719495981694977,bot#1,bot,gpt3
222,1200560571411648513,bot#4,bot,gpt2
223,1164220512651874304,human#2,human,human
224,1147568874042400768,human#2,human,human
225,1226234246483922944,bot#14,bot,gpt2
226,1544370307112116224,human#17,human,human
227,1116169614944165890,human#10,human,human
228,1008895381332058114,human#10,human,human
229,1223796459482402816,human#7,human,human
230,1048220322485297153,human#10,human,human
231,1122036643135778816,bot#11,bot,others
232,1223984461286502400,bot#10,bot,others
233,935901313786773504,bot#11,bot,others
234,1045199152991199232,human#10,human,human
235,1496625540895289346,human#17,human,human
236,1114594165193461760,human#10,human,human
237,1173772792598155264,human#10,human,human
238,1209253611882070017,human#12,human,human
239,1172900095555014656,bot#12,bot,rnn
240,42976240625389568,human#14,human,human
241,1497885260511473665,human#17,human,human
242,1221187511285739520,human#7,human,human
243,1218624098093469697,bot#14,bot,gpt2
244,1527409686156300298,human#17,human,human
245,808783285065252864,human#8,human,human
246,1141130762235850758,bot#12,bot,rnn
247,1244731643761504258,human#9,human,human
248,1519418688331390976,human#16,human,human
249,1224023524739674112,human#7,human,human
250,1111703408858132480,human#10,human,human
251,1193244609247248386,human#10,human,human
252,1195112170578743298,bot#4,bot,gpt2
253,1503506460889608194,human#17,human,human
254,1141160961283198976,bot#12,bot,rnn
255,1205539683196796929,human#10,human,human
256,1329822469037944833,bot#1,bot,gpt3
257,1222819024850915328,bot#12,bot,rnn
258,1166316716818722818,bot#12,bot,rnn
259,1247157834388844544,bot#1,bot,gpt3
260,1224172413388128256,human#12,human,human
261,930374883262861312,bot#11,bot,others
262,1399037078491574276,bot#24,bot,gpt3
263,1198613021226131456,human#12,human,human
264,1175405320220360711,bot#14,bot,gpt2
265,1208132227667812357,human#12,human,human
266,1229223978729820160,bot#10,bot,others
267,1654356181454864387,human#5,human,human
268,1135785542354780160,bot#12,bot,rnn
269,1194048027553648640,human#9,human,human
270,1590832685739823104,human#17,human,human
271,1223123782606286848,bot#10,bot,others
272,1608175806865412097,bot#8,bot,gpt3
273,1194902824494063616,bot#10,bot,others
274,1214777194792112128,human#7,human,human
275,1146287261086027776,human#10,human,human
276,756105768085094402,human#4,human,human
277,1202383598168477696,human#2,human,human
278,1253399290208235520,human#9,human,human
279,1280332215285579776,human#12,human,human
280,1209562638440521728,bot#4,bot,gpt2
281,1598344396562464770,human#1,human,human
282,1625735762804350977,bot#8,bot,gpt3
283,1516232860629446660,human#17,human,human
284,1217971005768912896,human#4,human,human
285,1173171886202576902,bot#12,bot,rnn
286,1172658678194933760,human#9,human,human
287,823786384020357121,human#4,human,human
288,1198904183652380673,bot#10,bot,others
289,1204162608636583937,human#13,human,human
290,1098621850915991552,human#10,human,human
291,1226234245124935680,bot#13,bot,gpt2
292,1202643310835359744,human#12,human,human
293,1063703224236961792,human#8,human,human
294,1655153934443397121,human#5,human,human
295,935508719764365312,bot#11,bot,others
296,757839247952916480,human#4,human,human
297,1272921513512099845,human#9,human,human
298,1200634363546873856,bot#17,bot,gpt2
299,959631317724930048,human#8,human,human
300,948222505675657216,bot#11,bot,others
301,1209262137182445569,human#12,human,human
302,1354951541753450509,bot#24,bot,gpt3
303,1157740205165572096,bot#12,bot,rnn
304,1215710772539596801,human#2,human,human
305,1202814951955427328,bot#10,bot,others
306,1204454707021828097,human#10,human,human
307,1079590570085908480,human#10,human,human
308,1653567031336214528,human#5,human,human
309,1212418206222049280,bot#2,bot,gpt2
310,1579526179383840768,human#17,human,human
311,1229825189694726144,bot#12,bot,rnn
312,950517627868266498,bot#11,bot,others
313,1126816443100581889,bot#12,bot,rnn
314,1522702373289807872,human#17,human,human
315,1104791389022375936,human#4,human,human
316,883173985269293056,human#4,human,human
317,1223362564702081029,human#7,human,human
318,1077341534851223552,human#10,human,human
319,1229494592162148352,human#13,human,human
320,1229954982289403904,human#7,human,human
321,935659717317165056,bot#11,bot,others
322,1598768124555366404,human#1,human,human
323,1134878608101597184,human#10,human,human
324,1224784701841399811,bot#13,bot,gpt2
325,1202754527943806977,bot#2,bot,gpt2
326,1200675540933451776,bot#17,bot,gpt2
327,1205455803378999297,human#12,human,human
328,1054107544707198976,human#8,human,human
329,1181966550795816960,bot#4,bot,gpt2
330,1220390740175532033,bot#2,bot,gpt2
331,1222568009920847872,bot#19,bot,others
332,1655625881325383692,human#5,human,human
333,1221795801040551939,bot#4,bot,gpt2
334,827407941691011072,human#8,human,human
335,1223099086389121026,human#12,human,human
336,1131932521061466112,human#10,human,human
337,1088105144590360576,human#4,human,human
338,1124732711707353090,bot#12,bot,rnn
339,1230271796789817344,human#7,human,human
340,1521155893613711363,bot#1,bot,gpt3
341,984486299519332354,human#4,human,human
342,1219739977514352647,bot#3,bot,gpt2
343,1198119016037896193,bot#10,bot,others
344,1379185831571783685,bot#24,bot,gpt3
345,1245752767278268416,human#4,human,human
346,1225266319316008960,human#10,human,human
347,1148233582969856001,human#2,human,human
348,1181351198491922432,human#9,human,human
349,1616291479286124544,human#1,human,human
350,1184694446480248832,human#10,human,human
351,901519805194412033,human#4,human,human
352,1134698377457782790,bot#12,bot,rnn
353,1200592568188145664,bot#12,bot,rnn
354,876582912833052672,bot#20,bot,rnn
355,1223773028334678017,bot#9,bot,gpt2
356,1270023577199353864,bot#1,bot,gpt3
357,1655298270950727680,human#5,human,human
358,1215166344091488256,bot#10,bot,others
359,1131225494014255104,bot#12,bot,rnn
360,1217310476561838080,bot#10,bot,others
361,1131719669121871872,bot#22,bot,gpt2
362,1210698191919865856,human#4,human,human
363,869813321125449728,bot#16,bot,rnn
364,1266800082097233920,human#7,human,human
365,1221152822806208513,human#10,human,human
366,1070086133319487488,human#4,human,human
367,1604211442453909506,human#1,human,human
368,1223999517856497664,bot#13,bot,gpt2
369,1478924916636327937,human#17,human,human
370,1083305696756551681,human#4,human,human
371,1140677777886076928,bot#12,bot,rnn
372,1280203174008303616,human#12,human,human
373,949430454444109825,bot#11,bot,others
374,1214551956557090819,human#9,human,human
375,1288915335035457536,bot#1,bot,gpt3
376,707862754342912000,human#8,human,human
377,1005637917690064897,human#10,human,human
378,1215032345780080640,human#7,human,human
379,1207786864368766978,human#7,human,human
380,1124702512341311494,bot#12,bot,rnn
381,1164595375451193344,bot#12,bot,rnn
382,1189569936978370560,bot#12,bot,rnn
383,1211032731012018182,human#12,human,human
384,1576434691506249728,human#17,human,human
385,1230287400762347521,human#12,human,human
386,1085802682969772032,human#10,human,human
387,1224271342381363200,bot#10,bot,others
388,1276955967029153793,bot#1,bot,gpt3
389,1176436145397198849,bot#10,bot,others
390,1149707274505506816,bot#12,bot,rnn
391,1276223538458918913,human#7,human,human
392,1653085083807498282,human#5,human,human
393,1170079253381050368,bot#10,bot,others
394,705899602873081856,bot#16,bot,rnn
395,1482025021237248003,bot#1,bot,gpt3
396,1213429905486073856,bot#10,bot,others
397,1182264548100849664,bot#10,bot,others
398,1197229247930097664,human#12,human,human
399,802634210951528448,human#4,human,human
400,1657984165953032192,bot#23,bot,chatgpt
401,960361480704073728,human#8,human,human
402,1223996784617218048,bot#12,bot,rnn
403,1110691213114380288,human#4,human,human
404,1104042697822691329,human#10,human,human
405,1240690957529403394,human#7,human,human
406,1519444277939425280,human#17,human,human
407,1223194230778220546,bot#18,bot,gpt2
408,1169366814486253569,bot#12,bot,rnn
409,1178809385088438278,human#9,human,human
410,1199285300306104321,human#12,human,human
411,1042768222775201793,human#4,human,human
412,1220449492396318721,bot#21,bot,gpt2
413,1176383261003505666,bot#4,bot,gpt2
414,1103290591708766215,bot#11,bot,others
415,1179584540156841984,human#2,human,human
416,1655960805601361922,human#5,human,human
417,1198999982990229507,human#10,human,human
418,1405571986269642766,bot#24,bot,gpt3
419,1213078681750573056,human#12,human,human
420,1278547523599314955,human#7,human,human
421,1149100505655840769,bot#2,bot,gpt2
422,1349875203719905280,bot#24,bot,gpt3
423,1046945924084248576,human#10,human,human
424,1226324080170848256,human#12,human,human
425,1174639300798889986,bot#10,bot,others
426,1008911166301618176,human#10,human,human
427,932368027873525760,bot#11,bot,others
428,1017504489165635584,human#8,human,human
429,1604988068884123648,human#1,human,human
430,1216392879213555714,human#12,human,human
431,1227108771740180480,human#12,human,human
432,939464798474924032,bot#11,bot,others
433,1213162623086276609,bot#4,bot,gpt2
434,1202404507528749056,bot#12,bot,rnn
435,1033417953914437633,human#10,human,human
436,1229756032693473280,human#12,human,human
437,1179996858090868736,bot#12,bot,rnn
438,1139928781173317637,human#10,human,human
439,1217295382293569536,bot#10,bot,others
440,1222496715422433281,human#12,human,human
441,1576429965624500225,human#17,human,human
442,1052413660113580032,human#10,human,human
443,1208265880146046976,bot#10,bot,others
444,1119145898854895616,bot#12,bot,rnn
445,1175376412515028992,bot#12,bot,rnn
446,1655945890568499201,human#5,human,human
447,1165339026011774977,human#4,human,human
448,1171148553571328000,bot#12,bot,rnn
449,1230732684013363200,human#10,human,human
450,1217829723222478848,human#12,human,human
451,1190506106558140417,bot#12,bot,rnn
452,1611933066292862976,bot#8,bot,gpt3
453,1083444931933302784,human#8,human,human
454,1272953589519003648,human#9,human,human
455,1357180845912563715,bot#24,bot,gpt3
456,711335049220792320,bot#16,bot,rnn
457,1148848102947688449,bot#22,bot,gpt2
458,1622101107366404096,human#1,human,human
459,1179320149553213440,bot#10,bot,others
460,1211308352841506816,human#7,human,human
461,1226835488813633542,bot#12,bot,rnn
462,1046196210527293440,human#10,human,human
463,1616911006122262536,human#1,human,human
464,1139184523977998337,human#10,human,human
465,1227453711540269057,human#12,human,human
466,1465590952928579585,human#16,human,human
467,1120192262728601600,human#3,human,human
468,1065652743929397248,human#10,human,human
469,949521057081262080,bot#11,bot,others
470,1069297372159569922,human#10,human,human
471,1184724221630377984,bot#4,bot,gpt2
472,1226142171004383233,bot#3,bot,gpt2
473,705830514431762432,bot#16,bot,rnn
474,1229981574906515459,human#7,human,human
475,1186445815792824320,bot#2,bot,gpt2
476,1636892023801143297,bot#8,bot,gpt3
477,1200607166547124224,bot#17,bot,gpt2
478,889354804895424512,human#8,human,human
479,1179209387182825473,bot#14,bot,gpt2
480,1385627116079812612,bot#1,bot,gpt3
481,1116207422534631424,human#10,human,human
482,1009088621880664064,human#10,human,human
483,1054422576510849024,human#10,human,human
484,1218216412294062080,bot#2,bot,gpt2
485,1020761314308775936,human#11,human,human
486,1490973209780383745,human#17,human,human
487,1145147227335094273,bot#12,bot,rnn
488,1182127895625355264,human#15,human,human
489,1132433453830397953,bot#12,bot,rnn
490,1228351090757758978,human#6,human,human
491,1214683165308026880,bot#10,bot,others
492,887455306476814336,human#4,human,human
493,1167548743949987841,human#2,human,human
494,1225466448983863298,human#6,human,human
495,1214281129685127168,bot#4,bot,gpt2
496,1196847894608826369,bot#12,bot,rnn
497,1219611860468670469,human#12,human,human
498,1221583599042027520,bot#13,bot,gpt2
499,1189913918149464064,bot#4,bot,gpt2
500,1214345971947180032,human#12,human,human
501,1398383618389598211,bot#24,bot,gpt3
502,1224064206535843843,human#12,human,human
503,1195122972098359297,human#12,human,human
504,1184995760959557632,bot#2,bot,gpt2
505,1207738959729590272,human#7,human,human
506,1213641297065463808,bot#10,bot,others
507,1196747949075615744,bot#4,bot,gpt2
508,1181560371397545985,bot#15,bot,gpt2
509,1206801225015914497,bot#10,bot,others
510,1634332913398431744,bot#8,bot,gpt3
511,1206088426476449792,bot#17,bot,gpt2
512,1424465074245316610,bot#24,bot,gpt3
513,1020734800657829888,human#4,human,human
514,1161745050205741056,human#4,human,human
515,1227983051507941376,bot#12,bot,rnn
516,1609986557921878016,human#1,human,human
517,1078388815662907392,bot#7,bot,rnn
518,1613993539976761358,human#1,human,human
519,1198400707587653632,bot#17,bot,gpt2
520,1519359624264417286,human#17,human,human
521,1218035222425612288,bot#9,bot,gpt2
522,1021157470968791042,human#10,human,human
523,1517252901118353409,human#17,human,human
524,1069397471359524864,human#10,human,human
525,1075414898048348160,human#10,human,human
526,1212814792232062976,human#7,human,human
527,1195458739832152064,bot#12,bot,rnn
528,1653567634657656832,human#5,human,human
529,1205320725692919808,human#12,human,human
530,1213686598555987969,bot#10,bot,others
531,1204120641579798529,human#10,human,human
532,1139614568450158592,human#10,human,human
533,1617326696989851649,human#1,human,human
534,1159763538971262982,bot#12,bot,rnn
535,1218442903728656384,bot#14,bot,gpt2
536,1497804841732558851,human#17,human,human
537,1163447812559794176,bot#12,bot,rnn
538,1223839756234215424,human#12,human,human
539,956366777583222784,human#8,human,human
540,1612858842924154880,human#1,human,human
541,1656841302695374848,bot#23,bot,chatgpt
542,1654680950163361792,human#5,human,human
543,1026672342754160640,human#10,human,human
544,1058131678445559808,bot#11,bot,others
545,1180130826685579264,human#10,human,human
546,1433250446316089344,bot#24,bot,gpt3
547,1441915268947709952,bot#24,bot,gpt3
548,1242841443351355392,bot#1,bot,gpt3
549,1217630210427957250,bot#4,bot,gpt2
550,1220038823876259840,human#10,human,human
551,1215653322012741633,bot#4,bot,gpt2
552,1067682908431765505,human#10,human,human
553,1176666376796139520,bot#2,bot,gpt2
554,944628818915897344,bot#11,bot,others
555,1576405364618145792,human#17,human,human
556,1157770405454598146,bot#12,bot,rnn
557,1616282780761047041,human#1,human,human
558,1222689612050636800,bot#4,bot,gpt2
559,1063819168871440384,human#10,human,human
560,1353064055708164096,bot#24,bot,gpt3
561,1226966864334598148,human#10,human,human
562,1181672563111600129,human#9,human,human
563,1034667169349394432,human#10,human,human
564,1217092343683137540,human#7,human,human
565,1200648620082679809,bot#17,bot,gpt2
566,1120353858901823488,bot#12,bot,rnn
567,1373746259606044674,bot#24,bot,gpt3
568,981368029488455680,human#8,human,human
569,1218969964096282624,human#7,human,human
570,1188185277417656320,bot#4,bot,gpt2
571,891215837524262913,human#4,human,human
572,979147000162799617,human#4,human,human
573,1496695739841335301,human#17,human,human
574,1213118837190578176,human#3,human,human
575,1061180871909113856,bot#11,bot,others
576,1209646692015857664,bot#4,bot,gpt2
577,996099712020336641,human#4,human,human
578,943420856792858625,bot#11,bot,others
579,1617050526851661828,human#1,human,human
580,1211904857612775424,bot#10,bot,others
581,929921909076107264,bot#11,bot,others
582,1200912421197475840,bot#10,bot,others
583,1354836424588193799,bot#1,bot,gpt3
584,1182743529157582848,human#10,human,human
585,1154210342634831873,human#10,human,human
586,1180617914233131008,bot#4,bot,gpt2
587,1123977947029942286,human#11,human,human
588,1217284784252080128,human#12,human,human
589,1182083354243387392,bot#10,bot,others
590,706990678585126913,bot#16,bot,rnn
591,1079248481548554240,bot#11,bot,others
592,1077537850848096256,human#15,human,human
593,1201543495539806208,human#12,human,human
594,1201196548417183749,bot#12,bot,rnn
595,1218200826239496194,bot#4,bot,gpt2
596,1215348474398433282,human#7,human,human
597,1046275187124006913,human#4,human,human
598,1177428451604647937,human#10,human,human
599,1222640599045558273,bot#10,bot,others
600,1140375787549294593,bot#12,bot,rnn
601,1192869392498823168,bot#4,bot,gpt2
602,1487962280461365254,human#17,human,human
603,1008717066529005568,human#10,human,human
604,1216471238853505024,bot#14,bot,gpt2
605,1247963767448666118,human#9,human,human
606,1215121047332089856,bot#10,bot,others
607,1220024457126825984,human#10,human,human
608,739616318677258240,human#4,human,human
609,1183155132675981312,bot#4,bot,gpt2
610,1230049975008100354,bot#4,bot,gpt2
611,1211500079934296064,bot#4,bot,gpt2
612,742795930374680576,bot#16,bot,rnn
613,1598771804042104835,human#1,human,human
614,1196334511987912705,bot#12,bot,rnn
615,1113092233425645573,human#10,human,human
616,944900615141974016,bot#11,bot,others
617,1214485574456946688,human#13,human,human
618,1044603618391818240,human#10,human,human
619,1199643277072330752,bot#4,bot,gpt2
620,1101674588692340737,human#10,human,human
621,1041001719662927872,human#10,human,human
622,1205269759195000838,bot#17,bot,gpt2
623,1207707193983635456,bot#10,bot,others
624,1054470265520803840,human#10,human,human
625,1611120416361177088,human#1,human,human
626,1220028382424920064,bot#10,bot,others
627,1608922478897758210,bot#8,bot,gpt3
628,1158220753210400768,human#2,human,human
629,706526508454711297,bot#16,bot,rnn
630,1209700340183916544,bot#10,bot,others
631,1608509921162559492,human#1,human,human
632,1184315312604237824,bot#12,bot,rnn
633,907065500429111296,human#4,human,human
634,806055758773309440,human#4,human,human
635,1132443189447602176,human#4,human,human
636,1154393527037509632,human#10,human,human
637,1217218048547004416,bot#4,bot,gpt2
638,1172718363476451328,bot#14,bot,gpt2
639,1219723130219843584,human#7,human,human
640,1172416913537847296,bot#12,bot,rnn
641,737719116799315968,human#4,human,human
642,1657974212668313601,bot#23,bot,chatgpt
643,1208231562552188930,human#12,human,human
644,1175892558167232512,bot#10,bot,others
645,1208532215140716544,human#7,human,human
646,1147714141584416768,bot#12,bot,rnn
647,1010981753152888832,human#8,human,human
648,1089195307299000320,human#15,human,human
649,1182506142020202498,bot#10,bot,others
650,1627059992208744450,bot#8,bot,gpt3
651,1576422451923152897,human#17,human,human
652,1219338883978100737,human#6,human,human
653,1214390932910424064,human#7,human,human
654,1170668139136159745,bot#10,bot,others
655,1241694588391260160,human#7,human,human
656,1173327510580420612,human#9,human,human
657,1225550659140890628,human#6,human,human
658,1650825864114999299,human#17,human,human
659,1348470505750163461,bot#24,bot,gpt3
660,1172976712667168768,human#11,human,human
661,1225521384350085120,human#7,human,human
662,1216265843467673600,bot#12,bot,rnn
663,1655620767436906496,bot#1,bot,gpt3
664,1128931428387844096,human#4,human,human
665,1230719212835917824,human#6,human,human
666,1227799767792504832,bot#9,bot,gpt2
667,834819369897226240,bot#6,bot,rnn
668,1223909420435898368,bot#4,bot,gpt2
669,1402411003200086018,bot#24,bot,gpt3
670,1179984526367289344,bot#10,bot,others
671,1657894387597312000,bot#23,bot,chatgpt
672,1400890719187898371,bot#24,bot,gpt3
673,1619768949125570564,bot#8,bot,gpt3
674,1215998705557475328,human#12,human,human
675,1225087593424945152,human#10,human,human
676,1278826814383837184,human#12,human,human
677,924715269896904704,human#3,human,human
678,1141947415462682624,human#4,human,human
679,1134111486442217472,human#10,human,human
680,1516233550571393030,human#17,human,human
681,1185532205642203136,human#9,human,human
682,1226230026493816833,human#7,human,human
683,1222124448527994884,bot#12,bot,rnn
684,1602433902521765888,human#1,human,human
685,1172327830547419136,human#9,human,human
686,1654689481046519810,bot#23,bot,chatgpt
687,1057664365598392320,bot#11,bot,others
688,877170113740460032,bot#20,bot,rnn
689,1218352310956498944,bot#14,bot,gpt2
690,971796170333937669,human#4,human,human
691,1040111928587079685,human#10,human,human
692,1633991267448393729,human#17,human,human
693,757846424239296513,human#4,human,human
694,1425686998032031744,bot#24,bot,gpt3
695,1623420864749350912,human#1,human,human
696,1216395905227620352,human#7,human,human
697,1609416880799744007,human#1,human,human
698,1130500719230849027,bot#12,bot,rnn
699,1211530293263392768,bot#4,bot,gpt2
700,1077641466212577281,human#10,human,human
701,937834037632057345,bot#11,bot,others
702,1188701176721825792,bot#4,bot,gpt2
703,1211585000597884928,bot#12,bot,rnn
704,1055513461159997441,human#10,human,human
